raw_name,canonical_name,is_supplement,n_mentions,reviewed,notes
magnesium,Magnesium,True,244,no,
vitamin D,Vitamin D,True,213,no,
Vitamin D,Vitamin D,True,179,no,
black cohosh,Black Cohosh,True,165,no,
HRT,HRT,True,119,no,
collagen,Collagen,True,116,no,
creatine,Creatine,True,108,no,
ashwagandha,Ashwagandha,True,100,no,
Magnesium,Magnesium,True,100,no,
calcium,Calcium,True,88,no,
"Dr. Haver’s #1 New York Times bestselling book, The New Menopause",The New Menopause,False,85,no,
protein,Protein,True,80,no,
Omega 3,Omega-3,True,68,no,
magnesium glycinate,Magnesium,True,67,no,
supplements,Not a supplement,False,67,no,
omega-3,Omega-3,True,63,no,
Ashwagandha,Ashwagandha,True,60,no,
Shatavari,Shatavari,True,60,no,
Black Cohosh,Black Cohosh,True,59,no,
Creatine,Creatine,True,55,no,
Dr. Haver’s #1 New York Times bestselling book,Dr. Haver’s #1 New York Times bestselling book,False,55,no,
Omega-3,Omega-3,True,54,no,
progesterone,Progesterone,True,54,no,
turmeric,Turmeric,True,53,no,
probiotics,Probiotics,True,52,no,
vitamin C,Vitamin C,True,50,no,
testosterone,Testosterone,True,48,no,
K2,Vitamin K,True,44,no,
fiber,Fiber,True,43,no,
vitamin D3,Vitamin D,True,43,no,
hormone therapy,Hormone Therapy,False,40,no,
zinc,Zinc,True,38,no,
hormone replacement therapy,Hormone Replacement Therapy,False,37,no,
Magnesium Glycinate,Magnesium,True,37,no,
vitamin E,Vitamin E,True,36,no,
estrogen,Estrogen,False,34,no,
B vitamins,B Vitamins,True,32,no,
L-theanine,L-Theanine,True,32,no,
B12,Vitamin B12,True,32,no,
Vitamin D3,Vitamin D,True,32,no,
Calcium,Calcium,True,31,no,
iron,Iron,True,31,no,
omega-3 fatty acids,Omega-3,True,30,no,
probiotic,Probiotic,True,30,no,
Perimeno Health,Perimeno Health,True,29,no,
omega-3s,Omega-3,True,28,no,
melatonin,Melatonin,True,26,no,
NMN,NMN,True,26,no,
vaginal estrogen,Estrogen,False,25,no,
Omega-3s,Omega-3,True,25,no,
Vitamin E,Vitamin E,True,25,no,
red clover,Red Clover,True,24,no,
The New Menopause,The New Menopause,False,24,no,
Vitamin C,Vitamin C,True,23,no,
chasteberry,Chasteberry,True,22,no,
Meno-Chill,Meno-Chill,True,22,no,
"Dr. Haver’s new book, The New Perimenopause",The New Perimenopause,False,22,no,
vitamin B6,Vitamin B6,True,22,no,
Magnesium glycinate,Magnesium,True,21,no,
multivitamin,Multivitamin,True,21,no,
vitamin K,Vitamin K,True,21,no,
Amberen,Amberen,True,20,no,
vitamin B12,Vitamin B12,True,20,no,
Black cohosh,Black Cohosh,True,19,no,
Collagen,Collagen,True,19,no,
Fiber,Fiber,True,19,no,
protein powder,Protein,True,19,no,
sage,Sage,True,19,no,
Turmeric,Turmeric,True,19,no,
Protein,Protein,True,18,no,
Probiotics,Probiotics,True,17,no,
soy,Soy,True,17,no,
Vitamin B12,Vitamin B12,True,17,no,
Black Girl Vitamins,Black Girl Vitamins,True,16,no,
creatine monohydrate,Creatine,True,16,no,
our supplements,Not a supplement,False,16,no,
phytoestrogens,Phytoestrogens,True,16,no,
Vitamin K,Vitamin K,True,16,no,
coenzyme Q10,Coenzyme Q10,True,15,no,
DIM,DIM,True,15,no,
evening primrose oil,Evening Primrose Oil,True,15,no,
fiber supplement,Fiber,True,15,no,
MenoChill,MenoChill,True,15,no,
Menopause Support,Menopause Support,True,15,no,
soy isoflavones,Soy Isoflavones,True,15,no,
Superbalance,Superbalance,True,15,no,
Vitamina D,Vitamin D,True,15,no,
Hormone Harmony,Hormone Harmony,False,14,no,
O Positive,O Positive,False,14,no,
Omega-3 Fatty Acids,Omega-3,True,14,no,
shatavari,Shatavari,True,14,no,
vitamins,Vitamin,True,14,no,
Vitamin B6,Vitamin B6,True,14,no,
medication,medication,False,14,no,
B complex,B Complex,True,13,no,
estrogen patch,Estrogen,False,13,no,
flax seeds,Flaxseed,True,13,no,
Hormonal Balance,Hormonal Balance,False,13,no,
inositol,Inositol,True,13,no,
fabÜ MENO & PERI,Meno & Peri,True,13,no,
strength training,Not a supplement,False,13,no,
pills,Not a supplement,False,13,no,
Probiotic,Probiotic,True,13,no,
Progesterone,Progesterone,True,13,no,
vitamin D supplement,Vitamin D,True,13,no,
Vitamin D3 + K2,Vitamin D,True,13,no,
Vitamin K2,Vitamin K,True,13,no,
Berberine,Berberine,True,12,no,
berberine,Berberine,True,12,no,
CoQ10,CoQ10,True,12,no,
DHEA,DHEA,True,12,no,
EllaNu,EllaNu,True,12,no,
estriol,Estriol,True,12,no,
Evening Primrose Oil,Evening Primrose Oil,True,12,no,
Komi Quadro,Komi Quadro,True,12,no,
maca root,Maca Root,True,12,no,
magnesium threonate,Magnesium,True,12,no,
omega‑3,Omega-3,True,12,no,
Perimeno Health - Perimenopause Support Capsules,Perimeno Health,True,12,no,
beef organ supplement,Beef Organ,True,11,no,
Earthful Multivitamin Women 40+,Earthful Multivitamin,True,11,no,
Estrogen,Estrogen,True,11,no,
flaxseed,Flaxseed,True,11,no,
Gut Harmony,Gut Harmony,True,11,no,
maca,Maca,True,11,no,
magnesium citrate,Magnesium,True,11,no,
Midi Health,Midi Health,False,11,no,
NouriTress Hair Products,NouriTress,False,11,no,
omega 3,Omega-3,True,11,no,
trt,TRT,False,11,no,
hormones,hormones,False,11,no,
Hormone Therapy,Hormone Therapy,False,10,no,
Maca,Maca,True,10,no,
